,Store_Name,Address,City_State
0,Supercenter #3476,39500 Ford Rd,"Canton, MI 48187"
1,Supercenter #5761,45555 Michigan Ave,"Canton, MI 48188"
2,Supercenter #5064,6065 Gull Rd,"Kalamazoo, MI 49048"
3,Supercenter #5065,501 N 9th St,"Kalamazoo, MI 49009"
4,Store #2867,3225 Towne Centre Blvd,"Lansing, MI 48912"
5,Supercenter #2869,409 N Marketplace Blvd,"Lansing, MI 48917"
6,Supercenter #2631,29555 Plymouth Rd,"Livonia, MI 48150"
7,Supercenter #5844,29574 7 Mile Rd,"Livonia, MI 48152"
8,Supercenter #2238,1879 E Sherman Blvd,"Muskegon, MI 49444"
9,Supercenter #3876,3285 Henry St,"Muskegon, MI 49441"
10,Supercenter #2644,5825 Brockway Rd,"Saginaw, MI 48638"
11,Supercenter #5097,5650 Bay Rd,"Saginaw, MI 48604"
12,Pharmacy #7260,8777 Platt Rd,"Saline, MI 48176"
13,Supercenter #5472,7000 E Michigan Ave,"Saline, MI 48176"
14,Supercenter #3498,4369 Ball Road Ne,"Blaine, MN 55014"
15,Supercenter #5976,11505 Ulysses St Ne,"Blaine, MN 55434"
16,Supercenter #1971,3400 55th St Nw,"Rochester, MN 55901"
17,Supercenter #2812,25 25th St Se,"Rochester, MN 55904"
18,Neighborhood Market #4586,1820-a Popps Ferry Rd,"Biloxi, MS 39532"
19,Neighborhood Market #6849,2050 Pass Road,"Biloxi, MS 39531"
20,Supercenter #1088,2681 Ct Switzer Sr Dr,"Biloxi, MS 39531"
21,Neighborhood Market #6166,10290 D'iberville Rd,"Diberville, MS 39540"
22,Supercenter #2715,3615 Sangani Blvd,"Diberville, MS 39540"
23,Neighborhood Market #6165,1733 East Pass Road,"Gulfport, MS 39507"
24,Neighborhood Market #6323,11333 Highway 49,"Gulfport, MS 39503"
25,Supercenter #969,9350 Highway 49,"Gulfport, MS 39503"
26,Supercenter #916,6072 U S Highway 98,"Hattiesburg, MS 39402"
27,Supercenter #2717,5901 U S Highway 49,"Hattiesburg, MS 39402"
28,Neighborhood Market #3593,2401 Goodman Rd W,"Horn Lake, MS 38637"
29,Supercenter #6964,4150 Goodman Road West,"Horn Lake, MS 38637"
30,Neighborhood Market #3990,3310-a Highway 39 North,"Meridian, MS 39301"
31,Supercenter #981,1733 2nd St S,"Meridian, MS 39301"
32,Supercenter #1271,2400 Highway 19 N,"Meridian, MS 39307"
33,Neighborhood Market #5776,6412 Washington Avenue,"Ocean Springs, MS 39564"
34,Supercenter #1346,3911 Bienville Blvd,"Ocean Springs, MS 39564"
35,Neighborhood Market #5459,105 Market Street,"Starkville, MS 39759"
36,Supercenter #112,1010 Highway 12 W,"Starkville, MS 39759"
37,Neighborhood Market #4619,316 S Gloster Street,"Tupelo, MS 38801"
38,Supercenter #258,3929 N Gloster St,"Tupelo, MS 38804"
39,Supercenter #391,2270 W Main St,"Tupelo, MS 38801"
40,Neighborhood Market #5149,1700 N 7 Hwy,"Blue Springs, MO 64014"
41,Supercenter #184,600 Ne Coronado Dr,"Blue Springs, MO 64014"
42,Store #32,2050 W 76 Country Blvd,"Branson, MO 65616"
43,Supercenter #4381,1101 Branson Hills Pkwy,"Branson, MO 65616"
44,Neighborhood Market #7072,2021 Independence Street,"Cape Girardeau, MO 63701"
45,Supercenter #188,3439 William St,"Cape Girardeau, MO 63701"
46,Supercenter #80,3001 W Broadway,"Columbia, MO 65203"
47,Supercenter #159,415 Conley Rd,"Columbia, MO 65201"
48,Supercenter #451,1201 Grindstone Pkwy,"Columbia, MO 65201"
49,Neighborhood Market #6500,3411 S. Noland Road,"Independence, MO 64055"
50,Supercenter #1014,4000 S Bolger Rd,"Independence, MO 64055"
51,Supercenter #29,724 Stadium West Blv,"Jefferson City, MO 65109"
52,Supercenter #5477,401 Supercenter Dr,"Jefferson City, MO 65101"
53,Neighborhood Market #4057,1600 East 7th St,"Joplin, MO 64801"
54,Neighborhood Market #4470,25145 Demott Dr,"Joplin, MO 64801"
55,Neighborhood Market #4478,2426 S Maiden Ln,"Joplin, MO 64804"
56,Supercenter #59,1501 S Range Line Rd,"Joplin, MO 64804"
57,Supercenter #79,2623 W 7th St,"Joplin, MO 64801"
58,Neighborhood Market #2442,5261 North Antioch Road,"Kansas City, MO 64119"
59,Supercenter #234,8301 N Church Rd,"Kansas City, MO 64158"
60,Supercenter #2857,8551 N Boardwalk Ave,"Kansas City, MO 64154"
61,Supercenter #2955,1701 W 133rd St,"Kansas City, MO 64145"
62,Supercenter #4553,11601 E Us Highway 40,"Kansas City, MO 64133"
63,Supercenter #573,1000 Ne Sam Walton Ln,"Lees Summit, MO 64086"
64,Supercenter #4590,3410 Sw Market St,"Lees Summit, MO 64082"
65,Neighborhood Market #7127,3001 Oak Grove Road,"Poplar Bluff, MO 63901"
66,Supercenter #19,333 S Westwood Blvd,"Poplar Bluff, MO 63901"
67,Supercenter #560,4201 N Belt Hwy,"Saint Joseph, MO 64506"
68,Supercenter #2994,3022 S Belt Hwy,"Saint Joseph, MO 64503"
69,Supercenter #1265,10741 West Florissant Ave,"Saint Louis, MO 63136"
70,Supercenter #2213,3270 Telegraph Rd,"Saint Louis, MO 63125"
71,Neighborhood Market #2839,444 W Grand Street,"Springfield, MO 65807"
72,Neighborhood Market #3062,3536 W Mount Vernon St,"Springfield, MO 65802"
73,Neighborhood Market #3111,545 El Camino Alto Dr,"Springfield, MO 65802"
74,Neighborhood Market #3238,3720 East Sunshine Street,"Springfield, MO 65809"
75,Neighborhood Market #5692,3150 W Republic Rd,"Springfield, MO 65810"
76,Neighborhood Market #5693,1320 S Glenstone Ave,"Springfield, MO 65804"
77,Supercenter #86,2825 N Kansas Expy,"Springfield, MO 65803"
78,Supercenter #138,1923 E Kearney St,"Springfield, MO 65803"
79,Supercenter #179,3520 W Sunshine St,"Springfield, MO 65807"
80,Supercenter #444,3315 S Campbell Ave,"Springfield, MO 65807"
81,Supercenter #2221,2021 E Independence St,"Springfield, MO 65804"
82,Neighborhood Market #5421,45 Sutters Mill Road,"St. Peters, MO 63376"
83,Neighborhood Market #5427,3031 Mid Rivers Mall Drive,"St. Peters, MO 63376"
84,Supercenter #1956,2525 King Ave W,"Billings, MT 59102"
85,Supercenter #2923,1649 Main St,"Billings, MT 59105"
86,Supercenter #2455,701 Smelter Ave Ne,"Great Falls, MT 59404"
87,Supercenter #7199,5320 10th Ave S,"Great Falls, MT 59405"
88,Supercenter #2147,4000 Hwy 93 South,"Missoula, MT 59804"
89,Supercenter #3259,3555 Mullan Rd,"Missoula, MT 59808"
90,Neighborhood Market #3154,2109 Towne Center Dr,"Bellevue, NE 68123"
91,Supercenter #2847,10504 S 15th St,"Bellevue, NE 68123"
92,Supercenter #1326,2250 N Diers Ave,"Grand Island, NE 68803"
93,Supercenter #3395,3501 S Locust St,"Grand Island, NE 68801"
94,Supercenter #1943,4700 N 27th St,"Lincoln, NE 68521"
95,Supercenter #2432,2500 Jamie Ln,"Lincoln, NE 68512"
96,Supercenter #3278,8700 Andermatt Dr,"Lincoln, NE 68526"
